roughness,vel_bin,rms,centroid_hz,hf_ratio
5,0.01-0.03,0.4405522379648248,984.6779219298866,0.5331038272690888
5,0.03-0.06,0.46153021518097653,948.7138204482621,0.512066254482024
5,0.06-0.10,0.4363500438886927,965.2693339702453,0.5158877735221215
5,0.10-0.15,0.46501537974604584,965.5095834982919,0.508781469645453
5,V>0.15,0.4327416868451863,968.9735532308393,0.5155488043391264
12,0.01-0.03,0.38855669166468365,953.8203460405603,0.5076851761652753
12,0.03-0.06,0.44709435911306394,962.3325346085188,0.5205616292496664
12,0.06-0.10,0.4578153051433807,952.0942307177435,0.5206783905267993
12,0.10-0.15,0.5299933206494377,932.4540146112837,0.5512065852768222
12,V>0.15,0.4340952273554173,1028.54806534192,0.5751579441911041
23,0.01-0.03,0.3972707224065947,1014.0943909204525,0.5223860071675579
23,0.03-0.06,0.45238730183049053,964.8146190386165,0.5153881154662425
23,0.06-0.10,0.47245583083813236,949.3846481452346,0.511205686993339
23,0.10-0.15,0.49668569531441614,941.6887947886446,0.5121318498948597
23,V>0.15,0.4041787677610567,979.0684914511269,0.5081831626665226
45,0.01-0.03,0.47913851511122574,959.9794973212453,0.5220810485483628
45,0.03-0.06,0.5107950481647802,927.7163081009109,0.498887785754422
45,0.06-0.10,0.4914248567742379,943.3935106308472,0.5043495912416712
45,0.10-0.15,0.5544387566199376,911.5628055543501,0.5004722133753756
45,V>0.15,0.5551780868779149,890.3243405864883,0.49855550762040163
58,0.01-0.03,0.4838091760704463,954.5729216436132,0.527939069799698
58,0.03-0.06,0.47488935407123833,948.7713861687503,0.5148488712079908
58,0.06-0.10,0.4795696040769607,950.0347698198041,0.5195759780513498
58,0.10-0.15,0.49234604805623494,935.3677470663088,0.5063679295593795
58,V>0.15,0.5350956345964475,915.6385188516698,0.5159944195019746
66,0.01-0.03,0.4734387227667953,881.0715959798434,0.4779821859291741
66,0.03-0.06,0.47324913845029143,930.3301353019903,0.49943076765473016
66,0.06-0.10,0.45391300919083605,966.6152133707258,0.5069267715793476
66,0.10-0.15,0.44657611820676496,947.1742058255593,0.48858421634049726
66,V>0.15,0.4685230885486553,966.2676131636042,0.50482775630322
100,0.01-0.03,0.4076332495168403,965.4151274330911,0.5138854678552207
100,0.03-0.06,0.5347904059754103,920.427224332845,0.5055540245974222
100,0.06-0.10,0.5849424495782506,893.3177476332744,0.5024232858620978
100,0.10-0.15,0.5707983382942354,897.317565627862,0.5033278100866878
100,V>0.15,0.5832672286649517,846.6359586044938,0.4842210745018087
